?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/HAO_0001980>		
<http://purl.obolibrary.org/obo/AISM_0000033>	"The cuticle of the flat, paired appendage on the dorso-lateral region of the pterothorax."@en	
<http://purl.obolibrary.org/obo/HAO_0000874>	"The thoracic segment that is located between the head and the mesothorax is composed of the pronotum, the propectus and the fore leg."	
<http://purl.obolibrary.org/obo/HAO_0000213>		
<http://purl.obolibrary.org/obo/HAO_0001673>	"The second axillary sclerite  that is located on the mesothorax."	
<http://purl.obolibrary.org/obo/HAO_0000285>	"The margin that extends along the border of two areas that are oriented differently."	
<http://purl.obolibrary.org/obo/HAO_0001740>	"The anatomical space that is located proximal to the cibarium."	
<http://purl.obolibrary.org/obo/HAO_0000479>		
<http://purl.obolibrary.org/obo/HAO_0001797>	"The ridge that is unpaired, vertical, is located in the dorsoventral midline of the frons and corresponds to the site of origin of the posterior fronto-labral muscles."	
<http://purl.obolibrary.org/obo/HAO_0000281>	"The area of the segment that is dorsal."	
<http://purl.obolibrary.org/obo/HAO_0001772>	"The first axillary sclerite that articulates anteriorly and medially with the anterior notal wing process laterally with the second axillary sclerite, and posteriorly with the posterior notal wing process."	
<http://purl.obolibrary.org/obo/AISM_0000349>	"The conjunctiva that is part of the antenna, is encircled by the flagellomere 7 and encircles the flagellomere 8."@en	
<http://purl.obolibrary.org/obo/HAO_0001676>		
<http://purl.obolibrary.org/obo/HAO_0002377>	"The width that is the longest."	
<http://purl.obolibrary.org/obo/HAO_0001619>	"The sclerite that articulates on the first valvula and projects into the egg/poison canal."	
<http://purl.obolibrary.org/obo/HAO_0001946>	"The line of separation that is located between consecutive abdominal terga."	
<http://purl.obolibrary.org/obo/AISM_0000319>	"The conjunctiva that is part of the protarsus, is encircled by protarsomere 2 and encircles protarsomere 2."@en	
<http://purl.obolibrary.org/obo/HAO_0001782>	"The antennal muscle that arises anterolaterally on the scape and inserts medially on the proximal part of the pedicel."	
<http://purl.obolibrary.org/obo/HAO_0001905>	"The rim that extends along the propodeal foramen."	
<http://purl.obolibrary.org/obo/HAO_0000155>	"The area that is located posterior to the transscutal articulation and anterior to the scutoscutellar suture."	
<http://purl.obolibrary.org/obo/HAO_0001414>	"The lateral coxal condyle of the pleuron that is located on the lateral coxal articular process of the metapleuron and inserts into the lateral pectal fossa of the metacoxa."	
<http://purl.obolibrary.org/obo/AISM_0004118>	"Is the abdominal tergite of the postabdomen that is attached to the posterior margin of the abdominal tergite IX by the abdominal tergite IX-abdominal tergite X conjunctiva."@en	
<http://purl.obolibrary.org/obo/HAO_0000248>	"The tarsal plantula that arises distally on the tarsomere."	
<http://purl.obolibrary.org/obo/AISM_0000094>	"The conjunctiva of the insect thorax that joins the mesopleuron and the metapleuron."@en	
<http://purl.obolibrary.org/obo/HAO_0001699>	"The muscle that inserts on the prophragma."	
<http://purl.obolibrary.org/obo/AISM_0000169>	"The notum or sclerite on the dorsal region of the metathorax that is posterior to the mesonotum, connected via the metanoto-metapleural conjuntiva to the dorsal margin of the metapleuron, that is not adjacent to the metacoxa, but attached to it by the metacoxal muscle."@en	
<http://purl.obolibrary.org/obo/HAO_0001815>	"The ovipositor muscle that arises posteroventrally from the second valvifer and inserts on the processus musculares of the second valvula."	
<http://purl.obolibrary.org/obo/HAO_0001072>	"The salivarial muscle that arises from the proximal end of the ventral part of the prementum and inserts on the salivarial sclerite."	
<http://purl.obolibrary.org/obo/AISM_0000361>	"The clypeal tooth that is bilaterally paired and located in the lateral region."@en	
<http://purl.obolibrary.org/obo/HAO_0002158>	"The reagon of the ovipositor that is defined by the sclerites that articulate with the ninth abdominal tergite and the second valvifer."	
<http://purl.obolibrary.org/obo/HAO_0002295>	"The line of separation between the pronotum and the mesoscutum."	
<http://purl.obolibrary.org/obo/HAO_0002296>	"The line of separation between the pronotum and the mesopectus."	
<http://purl.obolibrary.org/obo/HAO_0000215>	"The row of setae that extends along the apical margin of the fore tibia inbetween the articulations of the basitarsus and the calcar."	
<http://purl.obolibrary.org/obo/AISM_0004267>	"The cuticular sulcus that coincides with the postoccipital ridge and is posterior to the occiput and anterior to the postocciput."@en	
<http://purl.obolibrary.org/obo/HAO_0000275>	"The apodeme that arises anterodorsally from the anterior tentorial arm and extends to the anterior wall of the cranium."	
<http://purl.obolibrary.org/obo/AISM_0002080>	"The dorsoventral thoracic muscle that extends between the tentorium and the prophragma."@en	
<http://purl.obolibrary.org/obo/HAO_0001850>	"The sulcus that is transverse, located on the upper face and medially joining or intersecting the scrobal sulcus and interantennal area."	
<http://purl.obolibrary.org/obo/HAO_0001638>	"The maxillary muscle that arises from the anterior region of the cranium and inserts adjacent to the cardino-stipital hinge."	
<http://purl.obolibrary.org/obo/HAO_0002168>	"The corner on the first valvifer that marks the posterior end of the first valvula."	
<http://purl.obolibrary.org/obo/HAO_0002046>	"The conjunctiva that is linear and extends medially on the ventral region of the gonostyle/volsella complex."	
<http://purl.obolibrary.org/obo/HAO_0002427>	"The row of setae that is transverse and located distally on the third metasomal mediotergite and is composed of setae at least 2 times as long as other setae on the metasoma."	
<http://purl.obolibrary.org/obo/HAO_0001432>	"The scrobe that is located dorsally of the antennal foramen and is for the reception of the antenna."	
<http://purl.obolibrary.org/obo/HAO_0000259>	"The notch that is situated medially on the dorsal margin of the mesopostnotum."	
<http://purl.obolibrary.org/obo/HAO_0000237>	"The longitudinal vein that is posterior to the marginal vein."	
<http://purl.obolibrary.org/obo/HAO_0000304>	"The notch that is located on the ventral margin of the clypeus."	
<http://purl.obolibrary.org/obo/AISM_0004129>	"The region of cuticle on the lateral region of the insect thorax that is attached to the notum and the sternum and is attached to the coxae by skeletal muscle tissue and the basal coxal conjunctiva."@en	
<http://purl.obolibrary.org/obo/HAO_0002238>	"The muscle that arises from the second sclerite of the labial palp and inserts on the third sclerite of the labial palp."	
<http://purl.obolibrary.org/obo/AISM_0004077>	"The region of cuticle of the postabdomen that is distal to the genital chamber."@en	
<http://purl.obolibrary.org/obo/HAO_0002565>	"The projection at the ventral end of the genal carina."	
<http://purl.obolibrary.org/obo/HAO_0000158>	"The anatomical cluster that is composed of the axillary sclerites."	
<http://purl.obolibrary.org/obo/HAO_0002369>	"The boundary of the orthographic projection of a defined side of the anatomical structure."	
<http://purl.obolibrary.org/obo/HAO_0001448>	"The protrochanteral muscle that arises anteriorly from the procoxa and inserts on the proximal margin of the protrochanter just lateral of the anterior coxal fossa of the protrochanter."	
<http://purl.obolibrary.org/obo/HAO_0000971>	"The impression extends along the lateral margin of the metasomal mediotergite."	
<http://purl.obolibrary.org/obo/HAO_0000322>	"The setiferous patch that is located sublaterally on an abdominal sternum."	
<http://purl.obolibrary.org/obo/AISM_0004192>	"The conjunctiva that encircles the mesopretarsus by joining the distal margin of the distalmost mesotarsomere and the proximal margin of the mesopretarsus."@en	
<http://purl.obolibrary.org/obo/HAO_0001089>	"The appendage that is between the notum and the pectus and is connected to the body by the axillary sclerite muscles."	
<http://purl.obolibrary.org/obo/HAO_0000340>	"The line that secondarily divides a sclerite."	
<http://purl.obolibrary.org/obo/AISM_0004042>	"The posterior region of the head capsule that is continuous with the posterior region of the gena and is anterior to the postoccipital ridge."@en	
<http://purl.obolibrary.org/obo/HAO_0000521>	"The mesotrochanteral muscle that arises from the ventral surface of the lateral mesofurcal arm medial to the site of origin of the lateral mesofurco-mesotrochanteral muscle and inserts on the mesotrochanteral apodeme."	
<http://purl.obolibrary.org/obo/AISM_0004206>	"The tergo-trochantinal muscle that is attached to the mesonotum and the mesotrochantin."@en	
<http://purl.obolibrary.org/obo/HAO_0001701>	"The carina that delimits the pronotal plate posterolaterally."	
<http://purl.obolibrary.org/obo/HAO_0000427>	"The compound organ that functions as producer and transporter of sperm, spermatophore and semen, composed of the testes, vas deferens, accessory glands and ductus ejaculatorius. Ecto- and mesodermal in origin."	
<http://purl.obolibrary.org/obo/HAO_0000098>	"The ridge that extends along the anterior margin of the tergum and sternum and corresponds to the site of attachment of the median longitudinal intersegmental muscles."	
<http://purl.obolibrary.org/obo/AISM_0004092>	"The conjunctiva of the insect abdomen that connects the abdominal tergite IV and the abdominal tergite V."@en	
<http://purl.obolibrary.org/obo/HAO_0000147>	"The wing cell of the fore wing that is minute, round and is delimited by the radio-medial cross veins."	
<http://purl.obolibrary.org/obo/HAO_0001768>	"The body part that composed of the vagina, spermatheca and the ovipositor apparatus and its muscles and glands."	
<http://purl.obolibrary.org/obo/AISM_0004268>	"The cuticular sulcus that coincides with the gular ridge, separating the gula fron the gena"@en	
<http://purl.obolibrary.org/obo/HAO_0000934>	"The sensillum that is curved."	
<http://purl.obolibrary.org/obo/HAO_0000115>	"The mesofurco-mesolaterophragmal muscle that originates from the mesofurca and inserts anteriorly on the mesolaterophragma."	
<http://purl.obolibrary.org/obo/HAO_0002210>	"The row of setae of the glossa that is adjacent to the distal glossal edge."	
<http://purl.obolibrary.org/obo/AISM_0004187>	"The conjunctiva that encircles the pretarsus by joining the distal margin of the distalmost tarsomere and the proximal margin of the pretarsus."@en	
<http://purl.obolibrary.org/obo/AISM_0004009>	"The conjunctiva of the insect maxilla that connects the stipes and the lacinia."@en	
<http://purl.obolibrary.org/obo/HAO_0001401>	"The lateral pectal fossa of the coxa that is located laterally on the proximal margin of the metacoxa and accommodates the lateral coxal articular process of the metapleuron."	
<http://purl.obolibrary.org/obo/HAO_0002460>	"The median anatomical line of the pronotum in dorsal view."	
<http://purl.obolibrary.org/obo/HAO_0001949>	"The carina that extends along the posterior surface of the metatibia between the distal and proximal ends of the metatibia."	
<http://purl.obolibrary.org/obo/HAO_0002059>	"The tergite that is connected to S9 via muscles ."	
<http://purl.obolibrary.org/obo/HAO_0000348>		
<http://purl.obolibrary.org/obo/AISM_0000185>	"The hairlike seta that is short and thick walled."@en	
<http://purl.obolibrary.org/obo/AISM_0000077>	"The cuticle of the segment of the leg that is attached to the latero-ventral region of the insect thorax by the basal coxal conjunctiva."@en	
<http://purl.obolibrary.org/obo/AISM_0000141>	"The furca of the mesothorax that is attached to the mesocoxa via muscle."@en	
<http://purl.obolibrary.org/obo/AISM_0004120>	"The conjunctiva of the postabdomen that joins the abdominal tergite X and the epiproct."@en	
<http://purl.obolibrary.org/obo/HAO_0000842>	"The sulcus that extends along the dorsal margin of the pronotum and delimits the dorsal pronotal area."	
<http://purl.obolibrary.org/obo/AISM_0002035>	"The insect cranio-maxillar muscle that is attached to the stipes and the maxillary palpus."@en	
<http://purl.obolibrary.org/obo/HAO_0000211>	"The line that extends from the anterior tentorial pit to the cranial margin and separates the clypeus laterally from the pleurostoma."	
<http://purl.obolibrary.org/obo/HAO_0002073>	"The articular process that bears the cardinal condyle of the cranium."	
<http://purl.obolibrary.org/obo/PATO_0000117>	"A morphology quality inhering in a bearer by virtue of the bearer's physical magnitude."	
<http://purl.obolibrary.org/obo/AISM_0004111>	"The conjunctiva of the insect abdomen that connects the abdominal sternite II and the abdominal sternite III."@en	
<http://purl.obolibrary.org/obo/AISM_0000407>	"The cuticular protrusion that is located on an anatomical margin."@en	
<http://purl.obolibrary.org/obo/HAO_0001709>	"The row of spurs that extends laterally along the tarsomere of the mesotarsus."	
<http://purl.obolibrary.org/obo/HAO_0002585>	"The accessory gland that is not paired and that empties into the female reproductive duct and that is of class I gland."	
<http://purl.obolibrary.org/obo/HAO_0000442>	"The sternal muscle that connects the lateral margins of the abdominal tergum 9 and extends internally of the external male genitalia."	
<http://purl.obolibrary.org/obo/HAO_0001652>	"The carina that is longitudinal and extends closer to the midline than to the lateral margin of the propodeum."	
<http://purl.obolibrary.org/obo/AISM_0002088>	"The insect abdominal muscle that runs along the dorsal region, parallel to the anterior-posterior axis."@en	
<http://purl.obolibrary.org/obo/HAO_0002366>	"The anatomical line between the anteriormost (ventralmost) points of compound eyes in frontal view."	
<http://purl.obolibrary.org/obo/HAO_0001994>	"The area that is located dorsomedially on the metapectal-propodeal complex."	
<http://purl.obolibrary.org/obo/BSPO_0000070>	"A 3D region in space without well-defined compartmental boundaries; for example, the dorsal region of an ectoderm."	"FBql:00005841"
<http://purl.obolibrary.org/obo/AISM_0002070>	"The insect thoracic muscle that is not fan-shaped and runs along the ventral region, parallel to the anterior-posterior axis."@en	
<http://purl.obolibrary.org/obo/HAO_0000692>	"The area that is the dorsomedian part of the gonostipes and is the site of origin of the distodorsal and proximodorsal gonostyle/volsella complex-penisvalval muscles."	
<http://purl.obolibrary.org/obo/HAO_0000166>	"The row of impressions that extends along the anterior margin of an abdominal tergum or a sternum."	
<http://purl.obolibrary.org/obo/HAO_0002294>	"The corner at the intersection of the ventrolateral and posterior margin of the metapleuron."	
<http://purl.obolibrary.org/obo/AISM_0002065>	"The somatic muscle that is part of the insect thorax."@en	
<http://purl.obolibrary.org/obo/HAO_0002250>	"The sulcus that corresponds to the ridge that is continuous with the third phragma and extends between the metapleural apodeme."	
<http://purl.obolibrary.org/obo/HAO_0000657>		
<http://purl.obolibrary.org/obo/HAO_0001264>	"The coxal foramen that is on the metapectus."	
<http://purl.obolibrary.org/obo/HAO_0000268>	"The corner that is located submedially on the dorsal margin of the pronotum and that is adjacent to the anterolateral mesoscutal corner."	
<http://purl.obolibrary.org/obo/HAO_0000138>	"The seta that is located close to the distoventral margin of the gonostyle/volsella complex just laterally of the gonostyle/volsella complex-gonossiculus articulation."	
<http://purl.obolibrary.org/obo/HAO_0001824>	"The trabecula that extends between each eye ventral (anterior) to the anterior ocellus and dorsal (posterior) to the antennal formamina and laterally terminates at the juncture of the supraorbital trabecula and preorbital trabecula."	
<http://purl.obolibrary.org/obo/HAO_0002093>	"The sclerite that is on the medial stipital wall, connected to the lacinial lobe and receives the site of insertion of the stipito-lacinial muscle."	
<http://purl.obolibrary.org/obo/HAO_0001044>	"The area that is located dorsally of the ventral margin of the antennal rim and ventrally of the anterior ocellus medial to the inner margins of the eye and malar line."	
<http://purl.obolibrary.org/obo/AISM_0000345>	"The conjunctiva that is part of the antenna, is encircled by the flagellomere 3 and encircles the flagellomere 4."@en	
<http://purl.obolibrary.org/obo/HAO_0002062>	"The apodeme that corresponds to the site of insertion of the gonostyle/volsella complex-volsellal muscles."	
<http://purl.obolibrary.org/obo/AISM_0004151>	"The sclerite of the insect thorax that is surrounded by the noto-pleural conjunctiva and is adjacent to the wing."@en	
<http://purl.obolibrary.org/obo/HAO_0002027>	"The diameter of the median ocellus."	
<http://purl.obolibrary.org/obo/AISM_0004161>	"The sclerite that is surrounded by the basal wing conjunctiva."@en	
<http://purl.obolibrary.org/obo/AISM_0004026>	"The lateral region of the head capsule, connected dorsally to the lateral regions of the vertex."@en	
<http://purl.obolibrary.org/obo/HAO_0002392>	"The row of setae on the distomedial harpal wall that is parallel to the harpal margin."	
<http://purl.obolibrary.org/obo/BSPO_0000078>	"Anatomical region distally located on the body or body part."	"FBql:00005853"
<http://purl.obolibrary.org/obo/HAO_0001487>	"The articular membrane that is located in the metacoxo-metatrochanteral joint."	
<http://purl.obolibrary.org/obo/AISM_0000058>	"The sclerite that is posterior to the pronotum and receives the site of attachment of the dilutor muscle of the first thoracic spiracle."@en	
<http://purl.obolibrary.org/obo/AISM_0004246>	"The insect wing vein of the anal field that is posterior to the anal fold or the postcubitus and anterior to the jugal fold or the jugal veins."@en	
<http://purl.obolibrary.org/obo/HAO_0001593>	"The maxillar muscle that arises from the occiput and inserts on the proximal part of the lacinial lobe."	
<http://purl.obolibrary.org/obo/HAO_0000457>	"The lobe that extends proximally on the distal margin of the medial stipital wall, is adjacent to the basal lacinial sclerite, overlaps the proximal part of the galea."	
<http://purl.obolibrary.org/obo/HAO_0002006>	"The notch that is located on the posterodorsal margin of the mesopectus and accommodates the mesothoracic spiracle."	
<http://purl.obolibrary.org/obo/AISM_0000041>	"The seta that is flat."@en	
<http://purl.obolibrary.org/obo/HAO_0000512>	"The abscissa that is located along the anterior margin of the fore wing and is thought to correspond to the anterior abscissa of the radius (R1)."	
<http://purl.obolibrary.org/obo/AISM_0002014>	"The cranio-mandibular muscle that is attached to the head capsule and the insect mandible."@en	
<http://purl.obolibrary.org/obo/HAO_0000191>	"The region of cuticle that is paired, located apicolaterally on one of the apicalmost abdominal terga and bears mechanosensory seta."	
<http://purl.obolibrary.org/obo/AISM_0004288>	"The insect body segment that is part of the insect abdomen and is posterior to the insect metathoracic segment."@en	"http://flybase.org/cgi-bin/cvreport.pl?cvterm=FBbt:00000022"
<http://purl.obolibrary.org/obo/HAO_0000961>	"The pit that is located posterodorsally on the mesopectus corresponds to the posterodorsal edge of the mesopleuron."	
<http://purl.obolibrary.org/obo/HAO_0000990>	"The projection that is median, membraneous and is located distally on the ventral margin of the tarsomere."	
<http://purl.obolibrary.org/obo/HAO_0000887>	"The area that is located posteriorly on the tergum of the last externally visible segment of the abdomen."	
<http://purl.obolibrary.org/obo/HAO_0000220>	"The articular surface that is convex and is inserted into the fossa of an adjacent sclerite."	
<http://purl.obolibrary.org/obo/HAO_0001745>	"The metafurcal muscle that arises posteriorly of the site of origin of the anterior metapleuro-metafurcal muscle."	
<http://purl.obolibrary.org/obo/AISM_0004162>	"The ridge that is anterior to a coxa, demarcated by the anapleural sulcus."@en	
<http://purl.obolibrary.org/obo/HAO_0001059>	"The ridge that extends ventrally on the posterior part of the tentorial arm."	
<http://purl.obolibrary.org/obo/HAO_0002284>	"The muscle that arises from the propodeum and inserts laterally on the second abdominal segment."	
<http://purl.obolibrary.org/obo/HAO_0000136>	"The depression accommodates the sensilla that is located ventrally on the apical flagellomere."	
<http://purl.obolibrary.org/obo/CL_0000150>	"An epithelial cell, located in a gland, that is specialised for the synthesis and secretion of specific biomolecules, such as hormones, or mucous."	"CALOHA:TS-2085 FMA:86494"
<http://purl.obolibrary.org/obo/HAO_0000740>	"The setiferous patch that is located ventrally on the mesopleuron posterior to the epicnemial carina."	
<http://purl.obolibrary.org/obo/AISM_0000082>	"The somatic muscle that is attached to the head capsule and the insect mandible."@en	
<http://purl.obolibrary.org/obo/HAO_0000528>	"The procoxal muscle that arises partly from the posteroventral surface of the ventral profurcal lamella and partly from the ventral surface of the profurcal arm."	
<http://purl.obolibrary.org/obo/HAO_0001803>	"The carina that divides the prepectus for the vertical lateral portion and the horizontal, ventral prepectal shelf."	
<http://purl.obolibrary.org/obo/AISM_0000191>	"The solid, paired, branching cuticular invagination of the head capsule that is attached to the antenna and the mouthparts via muscles."@en	
<http://purl.obolibrary.org/obo/HAO_0002198>	"The proximal area of the paraglossa that is adjacent to the basiparaglossal brush."	
<http://purl.obolibrary.org/obo/AISM_0004226>	"The insect thoracic muscle that extends between the mesophragma and the abdominal tergite I."@en	
<http://purl.obolibrary.org/obo/AISM_0000373>	"The cuticle of the paramere that is located in the right side of the body."@en	
<http://purl.obolibrary.org/obo/HAO_0000486>	"The carina that is oblique and arises submedially from the anterior margin of the metapectal-propodeal complex and extends to the posterior propodeal projection."	
<http://purl.obolibrary.org/obo/AISM_0004062>	"The cuticular evagination of the postabdomen that is distal and attached to the cuticle of parameres by the paramero-aedeagal conjunctiva and is connected to the endophallus."@en	
<http://purl.obolibrary.org/obo/AISM_0000160>	"The invagination of the cuticle that is largely membranous."@en	
<http://purl.obolibrary.org/obo/AISM_0000333>	"The metatarsus that is composed by metatarsomeres 1-5."@en	
<http://purl.obolibrary.org/obo/HAO_0000099>	"The sulcus that corresponds to the antecosta."	
<http://purl.obolibrary.org/obo/HAO_0000444>	"The labial muscle that arises from a palpal sclerite and inserts on the palpal sclerite distal to it."	
<http://purl.obolibrary.org/obo/HAO_0001343>	"The apodeme that extends between the site of origin of the tentorial bridge and the posterior tentorial pit."	
<http://purl.obolibrary.org/obo/HAO_0002031>	"The seta that is on the cercus."	
<http://purl.obolibrary.org/obo/HAO_0001090>	"The region of the wing that is composed of the pteralia, humeral complex, tegula and axillary cord."	
<http://purl.obolibrary.org/obo/HAO_0001280>	"The intrinsic leg muscle that arises anteriorly from the wall of the metatrochanter and inserts on the proximal metafemoral apodeme."	
<http://purl.obolibrary.org/obo/HAO_0001230>	"The median region of the mesoscutellar disc that is flat, elevated and surrounds the scutellar midpit."	
<http://purl.obolibrary.org/obo/HAO_0001190>	"The process that is located on the annulus."	
<http://purl.obolibrary.org/obo/AISM_0004046>	"The region of the head capsule that comprises the posterior region of the subgena."@en	
<http://purl.obolibrary.org/obo/HAO_0001380>	"The medial pectal fossa of the coxa that is located medially on the proximal margin of the metacoxa and accommodates the medial coxal condyle of the metapectus."	
<http://purl.obolibrary.org/obo/HAO_0001383>	"The articulation that is composed of the medial coxal condyle of the mesopectus and the medial pectal fossa of the mesocoxa."	
<http://purl.obolibrary.org/obo/AISM_0004089>	"The conjunctiva of the insect abdomen that connects the abdominal tergite III and the abdominal tergite IV."@en	
<http://purl.obolibrary.org/obo/HAO_0002220>	"The sclerite that is ringlike and is connected distally to the fourth sclerite of the maxillary palp via conjunctiva."	
<http://purl.obolibrary.org/obo/HAO_0001646>	"The gland that is situated ventrally of the salivarium and empties into the salivarium."	
<http://purl.obolibrary.org/obo/HAO_0002364>	"The clypeal carina that is median."	
<http://purl.obolibrary.org/obo/HAO_0001713>		
<http://purl.obolibrary.org/obo/HAO_0001440>	"The mesonoto-mesotrochanteral muscle that arises from the mesonotum anterior to the site of origin of the posterior mesonoto-mesotrochanteral muscle when present and inserts on the mesotrochanteral apodeme."	
<http://purl.obolibrary.org/obo/AISM_0000040>	"The multicellular evagination of the cuticle that corresponds to an epithelial fold, composed of some sclerite that is encricled by a conjunctiva (moveable)."@en	
<http://purl.obolibrary.org/obo/HAO_0000649>		
<http://purl.obolibrary.org/obo/HAO_0000951>		
<http://purl.obolibrary.org/obo/HAO_0001103>	"The anatomical cluster that is composed of the rhachis of the second valvula and the aulax of the first valvula."	
<http://purl.obolibrary.org/obo/AISM_0004108>	"The abdominal sternite of the preabdomen that is attached to the posterior margin of the abdominal sternite V by the abdominal sternite V-abdominal sternite VI conjunctiva."@en	
<http://purl.obolibrary.org/obo/AISM_0000091>	"The branching invagination of elastic cuticle that is cylindrical and contains taenidia."@en	
<http://purl.obolibrary.org/obo/HAO_0002421>	"The area that is anterior to the metapecto-propodeal conjunctiva, posterior to the metapleural pit and dorsal to the metapleural sulcus."	
<http://purl.obolibrary.org/obo/BFO_0000004>	"A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything."@en	
<http://purl.obolibrary.org/obo/HAO_0002300>	"The trichoid sensillum that is apically rounded."	
<http://purl.obolibrary.org/obo/HAO_0002209>	"The row of setae that is on the distal glossal edge."	
<http://purl.obolibrary.org/obo/HAO_0000943>	"The spur that is located on the tibia and is adhesive."	
<http://purl.obolibrary.org/obo/HAO_0000734>	"The suture that is dorsal to the mandible and is part of the subgenal suture."	
<http://purl.obolibrary.org/obo/HAO_0001182>		
<http://purl.obolibrary.org/obo/HAO_0000336>	"The gonostyle/volsella complex-harpal muscle that inserts on the median wall of the harpe and arises distally of the site of origin of the proximal gonostyle/volsella complex-harpal muscle."	
<http://purl.obolibrary.org/obo/HAO_0001384>	"The intrinsic leg muscle that arises medially (ventrally) from the mesofemur and inserts on the genuflexor plate of the mid leg."	
<http://purl.obolibrary.org/obo/HAO_0000840>	"The corner that is located anterolaterally on the horizontal part of the collar."	
<http://purl.obolibrary.org/obo/HAO_0001979>		
<http://purl.obolibrary.org/obo/HAO_0001861>	"The area that is located laterally on the tergum and is delimited by a longitudinal edge."	
<http://purl.obolibrary.org/obo/HAO_0001629>	"The mesobasalar muscle that arises from the mesotrochanter."	
<http://purl.obolibrary.org/obo/HAO_0001541>	"The depression that is located anteroventrally on the mesopectus anterior of the precoxal carina."	
<http://purl.obolibrary.org/obo/HAO_0002342>	"The maximum width of the postpetiole in dorsal view."	
<http://purl.obolibrary.org/obo/HAO_0001466>	"The leg muscle that inserts and originates in the leg."	
<http://purl.obolibrary.org/obo/HAO_0002592>	"The row of styloconic sensilla along the proximal margin of the anterior area of the second valvifer."	
<http://purl.obolibrary.org/obo/HAO_0001377>	"The mesotrochanteral muscle that arises posteromedially from the mesocoxa and inserts on the mesotrochanteral apodeme."	
<http://purl.obolibrary.org/obo/HAO_0002524>	"The median projection on the proximodorsal region of the harpe that accommodates tha gonossiculus when it is pressed against the harpe."	
<http://purl.obolibrary.org/obo/AISM_0004311>	"The region of the insect wing that is posterior to the medial field of the insect wing."@en	
<http://purl.obolibrary.org/obo/HAO_0000396>	"The male genitalia muscle that arises form the harpe and inserts on the gonomacula."	
<http://purl.obolibrary.org/obo/AISM_0000026>	"The cuticle of the appendage of the insect maxilla that is attached to the cuticle of stipes by the stipito-lacinial conjunctiva."@en	
<http://purl.obolibrary.org/obo/HAO_0001318>	"The basicoxite that is located on the procoxa."	
<http://purl.obolibrary.org/obo/HAO_0001100>	"The region of the ovipositor that composed of the second valvifer and the third valvula."	
<http://purl.obolibrary.org/obo/BSPO_0000016>	"An axis that is approximately perpendicular to the anterior-posterior axis and that extends through the horizontal plane of the body."	
<http://purl.obolibrary.org/obo/AISM_0002071>	"The dorsal longitudinal thoracic muscle that is attached to the prophragma and the postocciput."@en	
<http://purl.obolibrary.org/obo/HAO_0000827>	"The furcal pit that is located in the prothorax."	
<http://purl.obolibrary.org/obo/AISM_0004197>	"The orifice on the postabdomen at the posterior margin of the digestive tract, connected to the epiproct and paraprocti."@en	
<http://purl.obolibrary.org/obo/HAO_0001159>	"The line that is sublateral, and extends between the medial end of the mesoscutellar arm and the scutoscutellar suture."	
<http://purl.obolibrary.org/obo/HAO_0002317>	"The anatomical line that extends between the distalmost point of the subpetiolar process and the global minima of the contour line of the dorsal region of the posterior petiolar constriction in lateral view when the specimen is rotated until the contour line became as symmetric as possible."	
<http://purl.obolibrary.org/obo/HAO_0000771>	"The edge that is located at the intersection of the mesepimeral ridge and the inflected dorsal margin of the mesopleuron."	
<http://purl.obolibrary.org/obo/AISM_0004088>	"The conjunctiva of the insect abdomen that connects the abdominal tergite II and the abdominal tergite III."@en	
<http://purl.obolibrary.org/obo/HAO_0002559>	"The pit that corresponds to the anterior mesofurcal invagination."	
<http://purl.obolibrary.org/obo/AISM_0004293>	"The insect abdominal segment that is posterior to the insect abdominal segment V and composed of abdominal tergite VI and abdominal sternite VI."@en	"http://flybase.org/cgi-bin/cvreport.pl?cvterm=FBbt:00000027"
<http://purl.obolibrary.org/obo/AISM_0004114>	"The conjunctiva of the insect abdomen that connects the abdominal sternite V and the abdominal sternite VI."@en	
<http://purl.obolibrary.org/obo/HAO_0000419>	"The line that extends along the border between the eye and face."	
<http://purl.obolibrary.org/obo/HAO_0001191>	"The area that is located distally of the wing base."	
<http://purl.obolibrary.org/obo/HAO_0000864>	"The carina that is located on the propodeum."	
<http://purl.obolibrary.org/obo/HAO_0002506>	"The sclerite that is located anterodorsally on the metapectus, posterior to the postalar process."	
<http://purl.obolibrary.org/obo/HAO_0000271>	"The ridge that is marginal or submarginal, extends along the dorsal margin of the propleuron and corresponds to the site of origin of the lateral propleuro-postoccipital muscle."	
<http://purl.obolibrary.org/obo/HAO_0001371>	"The protrochanteral muscle that arises medially from the procoxa and inserts on the protrochanteral apodeme."	
<http://purl.obolibrary.org/obo/AISM_0004291>	"The insect abdominal segment that is posterior to the insect abdominal segment III and composed of abdominal tergite IV and abdominal sternite IV."@en	"http://flybase.org/cgi-bin/cvreport.pl?cvterm=FBbt:00000025"
<http://purl.obolibrary.org/obo/HAO_0001968>	"The projection that is located submedially on the anterior margin of the propodeum."	
<http://purl.obolibrary.org/obo/AISM_0000350>	"The conjunctiva that is part of the antenna, is encircled by the flagellomere 8 and encircles the flagellomere 9."@en	
<http://purl.obolibrary.org/obo/HAO_0000822>		
<http://purl.obolibrary.org/obo/HAO_0002494>	"The projection that extends over the lateral portion of the antecostal sulcus."	
